id,name,weight,product_code,detail,fee,category,store,image_path
1,長野県産などの国内産　レタス　1玉,600,4.2012E+11,生で食べる以外にも、煮る、炒める料理にも使えます。 ,171,野菜・果物,イズミヤ,public/storage/image/product/f_vegetable1.jpg
2,宮崎県産などの国内産　きゅうり　1本,100,4.2013E+11,ビタミンC、カリウムを含み、パリパリとした歯ざわり、独特な香りは食欲増進につながります。利尿、胸やけを防ぐなどの効果もあります。 ,63,野菜・果物,イズミヤ,public/storage/image/product/f_vegetable2.jpg
3,熊本県産などの国内産　トマトM寸　1玉,200,4.2014E+11,各種ビタミン、ミネラル、食物繊維などをよく含んだ健康野菜です。 ,106,野菜・果物,イズミヤ,public/storage/image/product/f_vegetable3.jpg
4,韓国産他　パプリカ（赤）1コ,131,4.20152E+11,,139,野菜・果物,イズミヤ,public/storage/image/product/f_vegetable4.jpg
5,高知県産などの国内産　なす　3本,240,4.2035E+11,油との相性吸収がよいので夏場のスタミナ補給等、油脂をとりたいときに適しています。 ,214,野菜・果物,イズミヤ,public/storage/image/product/f_vegetable5.jpg
6,StyleONE　皮なしウィンナー　大袋　300g,300,4.90123E+12,食べやすい皮なしタイプです。 ,322,魚介類・肉・肉加工品・ハム・ソーセージ,イズミヤ,public/storage/image/product/f_meat1.jpg
7,StyleONE　ハーフベーコン　100g ,100,4.90137E+12,,214,魚介類・肉・肉加工品・ハム・ソーセージ,イズミヤ,public/storage/image/product/f_meat2.jpg
8,宮崎産などの　ぶりお造り　6切 ,240,2.02223E+12,,430,魚介類・肉・肉加工品・ハム・ソーセージ,イズミヤ,public/storage/image/product/f_meat3.jpg
9,井ゲタ　やわらかな味わいのもずく（三杯酢）　50ｇ×3個,150,4.97079E+12,,214,魚介類・肉・肉加工品・ハム・ソーセージ,イズミヤ,public/storage/image/product/f_meat4.jpg
10,ニッポンハム　シャーロワンズ　2個束,262,4.90212E+12,,279,魚介類・肉・肉加工品・ハム・ソーセージ,イズミヤ,public/storage/image/product/f_meat5.jpg
11,オーストラリア産牛肉　切り落とし（カタロース）約150g（100gあたり本体198円）,150,2.01511E+12,お届けする商品の重量は、表記のグラム数より多少変動する場合がございます。,321,魚介類・肉・肉加工品・ハム・ソーセージ,イズミヤ,public/storage/image/product/f_meat6.jpg
12,匠のすこやか豚　こまぎれ（国産）約160g（100gあたり本体98円） ,160,2.01414E+12,,169,魚介類・肉・肉加工品・ハム・ソーセージ,イズミヤ,public/storage/image/product/f_meat7.jpg
13,匠のすこやか鶏　むね肉（国産）1枚　約300g（100gあたり本体49円） ,300,2.0131E+12,,159,魚介類・肉・肉加工品・ハム・ソーセージ,イズミヤ,public/storage/image/product/f_meat8.jpg
14,StyleONE　酪農牛乳　1000ml　（牛乳成分無調整）,1050,4.90801E+12,生乳をそのまま殺菌しパックした成分無調整牛乳です。 ,204,卵・乳製品・牛乳・豆乳・豆腐・納豆,イズミヤ,public/storage/image/product/f_milk1.jpg
15,PrimeONE　いなかのたまご　10コ,658,4.90802E+12,大自然昔ながらの伝説なつかしの味です。これがこの玉子の理念です,279,卵・乳製品・牛乳・豆乳・豆腐・納豆,イズミヤ,public/storage/image/product/f_milk2.jpg
16,雪印メグミルク　6Pチーズ,50,4.90305E+12,発売は昭和29年！変わらぬ人気の６Ｐチーズです。 ,214,卵・乳製品・牛乳・豆乳・豆腐・納豆,イズミヤ,public/storage/image/product/f_milk3.jpg
17,男前豆腐店　枝豆風味豆腐　60g×4,240,4.56028E+12,,139,卵・乳製品・牛乳・豆乳・豆腐・納豆,イズミヤ,public/storage/image/product/f_milk4.jpg
18,ミツカン　なっとういち『押すだけプシュッ！と』超小粒　3P,150,4.90211E+12,,85,卵・乳製品・牛乳・豆乳・豆腐・納豆,イズミヤ,public/storage/image/product/f_milk5.jpg
19,日本酪農　低脂肪　1000ml ,1050,4.90801E+12,ビタミンDに加え、カルシウムを添加！ひと手間加え更に美味しくなって発売!! ,150,卵・乳製品・牛乳・豆乳・豆腐・納豆,イズミヤ,public/storage/image/product/f_milk6.jpg
20,明治　ブルガリアヨーグルト　LB81　そのままおいしい脂肪ゼロ　400g ,400,4.90271E+12,,171,卵・乳製品・牛乳・豆乳・豆腐・納豆,イズミヤ,public/storage/image/product/f_milk7.jpg
21,雪印メグミルク　牧場の朝ヨーグルト生乳仕立て70g×3コ入 ,210,4.90801E+12,家族みんなで楽しめるスタンダードなハードヨーグルトです。 ,106,卵・乳製品・牛乳・豆乳・豆腐・納豆,イズミヤ,public/storage/image/product/f_milk8.jpg
22,雪印メグミルク　牧場の朝ヨーグルト　いちご　70g×3 ,210,4.90801E+12,家族みんなで楽しめるいちご味の「牧場の朝ヨーグルト」です。 ,106,卵・乳製品・牛乳・豆乳・豆腐・納豆,イズミヤ,public/storage/image/product/f_milk9.jpg
23,神明　秋田県産　あきたこまち　2kg,2000,4.95597E+12,,1167,お米・麺・パスタ・パン ,イズミヤ,public/storage/image/product/f_carbs1.jpg
24,日清フーズ　マ・マー　スパゲティー　1．4mm　300g,300,4.90211E+12,【5月度月間割引商品】デュラムセモリナを100％使用した粘弾性のあるやや細めのスパゲティ。ゆで時間は5分。 ,117,お米・麺・パスタ・パン ,イズミヤ,public/storage/image/product/f_carbs2.jpg
25,パスコ　超熟　5枚切　1斤,72,4.90182E+12,超熟はクラスト（みみ）までやわらかく、しっとりとしてサラッとした口どけ。シンプルな味わいだからなまでも、焼いても、サンドイッチでもおいしくお召し上がり頂けます。　 ,193,お米・麺・パスタ・パン ,イズミヤ,public/storage/image/product/f_carbs3.jpg
26,サトウ　パリッとスリット　400ｇ,400,4.97336E+12,【5月度月間割引商品】,387,お米・麺・パスタ・パン ,イズミヤ,public/storage/image/product/f_carbs4.jpg
27,ヤマザキ　アップルパイ　1個入,95,4.90311E+12,,128,お米・麺・パスタ・パン ,イズミヤ,public/storage/image/product/f_carbs5.jpg
28,キッコーマン　特選丸大豆しょうゆ　500ml,600,4.90152E+12,大豆のうまみを丸ごと引き出した特選しょうゆ。良質な大豆を丸ごと仕込みじっくり熟成させたので、旨みコク風味が豊かなしょうゆです。大豆の油脂分から得られるまろやかでやわらかな口当たりと深いコク、穏かな香り、鮮やかな色合いが特長です。色味香りのバランスが良いので、どんな料理も引き立てます。ＪＡＳ特級 ,268,食油・調味料 ,イズミヤ,public/storage/image/product/f_seasoning1.jpg
29,StyleONE　マヨネ-ズ　400g,400,4.90158E+12,鮮度の良い卵を使い酸味をおさえ、マイルドに仕上がっています。 ,171,食油・調味料 ,イズミヤ,public/storage/image/product/f_seasoning2.jpg
30,日清オイリオ　キャノーラ油　1300g,1300,4.90238E+12,,322,食油・調味料 ,イズミヤ,public/storage/image/product/f_seasoning3.jpg
31,スプーン印　上白糖　1kg,1000,4.90288E+12,赤いスプーンでおなじみ。日本で最も多く使われている砂糖です。しっとりとソフトな風味で、料理、菓子、飲み物など、何にでも合う万能醤油。 ,182,食油・調味料 ,イズミヤ,public/storage/image/product/f_seasoning4.jpg
32,StyleONE　味付塩こしょう　250g　1本,250,4.901E+12,香り高い黒こしょうを使用しています,205,食油・調味料 ,イズミヤ,public/storage/image/product/f_seasoning5.jpg
33,大森屋　おかずのり　サクッと仕上　3袋 ,150,4.90119E+12,歯切れの良さ、口溶けを実感して下さい。１商品に８切サイズが２４枚入っています。 ,171,食油・調味料 ,イズミヤ,public/storage/image/product/f_seasoning6.jpg
34,丸美屋　のりたま　バラエティ20ミニパック　46g ,46,4.90282E+12,のりたま、味道楽、さけふり、たらこ、すきやきの5種類を小袋に詰めました。,225,食油・調味料 ,イズミヤ,public/storage/image/product/f_seasoning7.jpg
35,StyleONE　だしの素　50g×3袋 ,150,4.90307E+12,かつおぶしの風味にしいたけとこんぶのうま味を合わせただしの素です。 ,205,食油・調味料 ,イズミヤ,public/storage/image/product/f_seasoning8.jpg
36,味の素　ほんだし　8g×20袋【顆粒】 ,160,4.901E+12,香り、コク・味わいそれぞれに優れた３種のかつお節を使用した”香り高く一番おいしい”和風だしの素です。さっと入れるだけで、様々な和風メニューの味付けを簡単手軽においしく仕上げることが出来ます。 ,366,食油・調味料 ,イズミヤ,public/storage/image/product/f_seasoning9.jpg
